Name,Date,Type,Status,Raw Score,Total Score,Overall,Percentage,Weighting,Completed Assignment,Assignment?,Course,Days Left,Parent Item,Progress,Sub-item,Upcoming Exam
,"July 18, 2024",,Not Started,,,0,0,,0,No,,,,,,0
{IM} Written Test,"July 30, 2024 1:30 PM (GMT+5:30)",Exam,Completed,,,0,0,,0,No,Innovation Management (https://www.notion.so/Innovation-Management-b35339cf4a9c42c6b65b9ca2a8015706?pvs=21),,,,,0
BMC - Exam 1,"August 5, 2024",Exam,Not Started,,,0,0,,0,No,Business & Managerial Communication (https://www.notion.so/Business-Managerial-Communication-d6c71b2d2eb3416d84664d1e9f18784b?pvs=21),,,,,0
DAUP | Class Test,"August 12, 2024",Exam,Not Started,,,0,0,,0,No,Data Analysis Using Python (https://www.notion.so/Data-Analysis-Using-Python-f349ea4f18e647ca9ae815226b6a69ff?pvs=21),,,,,0
SE | Quiz,"August 12, 2024 10:30 AM (GMT+5:30) → 10:45 AM",Exam,Not Started,,,0,0,,0,No,Software Engineering (https://www.notion.so/Software-Engineering-787499b4f60945478939ca808ce144c5?pvs=21),,,,,0
Exam LMS,"August 12, 2024 10:45 AM (GMT+5:30)",Exam,Not Started,,,0,0,,0,No,Networking Essentials (https://www.notion.so/Networking-Essentials-60def3196c2a43ba94d88e84670c9051?pvs=21),,,,,0
Class Test,"August 13, 2024 10:30 AM (GMT+5:30) → 11:30 AM",Exam,Not Started,,,0,0,,0,No,Structured Query Language (https://www.notion.so/Structured-Query-Language-6a155729c27148c6983cfcb9e7870031?pvs=21),,,,,0
OS | Assignment,"August 15, 2024",Assignment,Not Started,,,0,0,,0,Yes,Operating Systems (Operating%20Systems%20f7a5c52a1398467487fc5042b3a10069.md),,,,,0
OS | Quiz,"August 15, 2024",Exam,Not Started,,,0,0,,0,No,Operating Systems (Operating%20Systems%20f7a5c52a1398467487fc5042b3a10069.md),,,,,0
OS | Case Study,"August 15, 2024",Assignment,Not Started,,,0,0,,0,Yes,Operating Systems (Operating%20Systems%20f7a5c52a1398467487fc5042b3a10069.md),,,,,0
DAUP | Quiz,"August 19, 2024",Exam,Not Started,,,0,0,,0,No,Data Analysis Using Python (https://www.notion.so/Data-Analysis-Using-Python-f349ea4f18e647ca9ae815226b6a69ff?pvs=21),,,,,0
BMC - Exam 2,"September 12, 2024",Exam,Not Started,,,0,0,,0,No,Business & Managerial Communication (https://www.notion.so/Business-Managerial-Communication-d6c71b2d2eb3416d84664d1e9f18784b?pvs=21),1 days,,,,1
BMC - Exam 3,"October 7, 2024",Exam,Not Started,,,0,0,,0,No,Business & Managerial Communication (https://www.notion.so/Business-Managerial-Communication-d6c71b2d2eb3416d84664d1e9f18784b?pvs=21),26 days,,,,1
New Exam,"October 7, 2024",Exam,Not Started,,,0,0,,0,No,Networking Essentials (https://www.notion.so/Networking-Essentials-60def3196c2a43ba94d88e84670c9051?pvs=21),26 days,,,,1
New Assignment,,Assignment,Not Started,,,0,0,,0,Yes,,,,,,0