Name,Course,Confidence,Next Review,Last Edited,Materials
{BMC} 1. Intro To Communication Skills,Business & Managerial Communication (https://www.notion.so/Business-Managerial-Communication-d6c71b2d2eb3416d84664d1e9f18784b?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{BMC} 2. Group Communication,Business & Managerial Communication (https://www.notion.so/Business-Managerial-Communication-d6c71b2d2eb3416d84664d1e9f18784b?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{BMC} 3. Listening,Business & Managerial Communication (https://www.notion.so/Business-Managerial-Communication-d6c71b2d2eb3416d84664d1e9f18784b?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{DAUP} 0. Prërequìsiteš,Data Analysis Using Python (https://www.notion.so/Data-Analysis-Using-Python-f349ea4f18e647ca9ae815226b6a69ff?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{DAUP} 1. NumPy Library For Arrays,Data Analysis Using Python (https://www.notion.so/Data-Analysis-Using-Python-f349ea4f18e647ca9ae815226b6a69ff?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{EVS} Question Bank,Environmental Studies (https://www.notion.so/Environmental-Studies-85c811f01154476e9c36cf7dabe02626?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{IM} 1.  What is Innovation?,Innovation Management (https://www.notion.so/Innovation-Management-b35339cf4a9c42c6b65b9ca2a8015706?pvs=21),Somewhat Confident,,"September 9, 2024 11:11 PM",https://www.notion.soShe Wouldn't Provide One 😢
{IM} 2. Innovation Models,Innovation Management (https://www.notion.so/Innovation-Management-b35339cf4a9c42c6b65b9ca2a8015706?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{IM} Open VS Closed Innovation,Innovation Management (https://www.notion.so/Innovation-Management-b35339cf4a9c42c6b65b9ca2a8015706?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{IM} Service Device Thinking,Innovation Management (https://www.notion.so/Innovation-Management-b35339cf4a9c42c6b65b9ca2a8015706?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{IM|Q},,Not Confident,,"September 9, 2024 11:11 PM",
{NE} 0. Introduction,Networking Essentials (https://www.notion.so/Networking-Essentials-60def3196c2a43ba94d88e84670c9051?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{OS},Operating Systems (Operating%20Systems%20f7a5c52a1398467487fc5042b3a10069.md),Not Confident,,"September 9, 2024 11:11 PM",
{OS} 0. Questions,Operating Systems (Operating%20Systems%20f7a5c52a1398467487fc5042b3a10069.md),Not Confident,,"September 9, 2024 11:11 PM",
{OS} 1. Introduction to Operating System,Operating Systems (Operating%20Systems%20f7a5c52a1398467487fc5042b3a10069.md),Not Confident,,"September 9, 2024 11:11 PM",intro_and_types_of_OS.pptx
{OS} 2. Processes & Process Management,Operating Systems (Operating%20Systems%20f7a5c52a1398467487fc5042b3a10069.md),Not Confident,,"September 9, 2024 11:11 PM",
{OS} 3. Inter-Process Communication & Synchronisation Deadlocks,Operating Systems (Operating%20Systems%20f7a5c52a1398467487fc5042b3a10069.md),Not Confident,,"September 9, 2024 11:11 PM",
{OS}Synchronization Mechanisms,Operating Systems (Operating%20Systems%20f7a5c52a1398467487fc5042b3a10069.md),Not Confident,,"September 11, 2024 10:50 AM",
{SE} 1. Overview of Systems Analysis & Design,Software Engineering (https://www.notion.so/Software-Engineering-787499b4f60945478939ca808ce144c5?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",Networking_Essentials_1.pdf
{SE} 2. Introduction to Software Engineering,Software Engineering (https://www.notion.so/Software-Engineering-787499b4f60945478939ca808ce144c5?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",Module-2.pptx
{SE} 3. Introduction to Software Development Phases,Software Engineering (https://www.notion.so/Software-Engineering-787499b4f60945478939ca808ce144c5?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{SE} 4. Development of Software Artifacts,Software Engineering (https://www.notion.so/Software-Engineering-787499b4f60945478939ca808ce144c5?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{SQL} 1. E-R Modelling and Table Design,Structured Query Language (https://www.notion.so/Structured-Query-Language-6a155729c27148c6983cfcb9e7870031?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
"{SQL} 2. SQL Overview, Data Types & Operators | 3. DML |",Structured Query Language (https://www.notion.so/Structured-Query-Language-6a155729c27148c6983cfcb9e7870031?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",SQL_II.pdf
{SQL}{Qs} newSQL,Structured Query Language (https://www.notion.so/Structured-Query-Language-6a155729c27148c6983cfcb9e7870031?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{SQL}{Qs} Practice Paper 1,Structured Query Language (https://www.notion.so/Structured-Query-Language-6a155729c27148c6983cfcb9e7870031?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{SQL}{Qs} Practice Paper 2,Structured Query Language (https://www.notion.so/Structured-Query-Language-6a155729c27148c6983cfcb9e7870031?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{SQL}{Qs} Practice Paper 3,Structured Query Language (https://www.notion.so/Structured-Query-Language-6a155729c27148c6983cfcb9e7870031?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
{SQL}{Qs} Practice Paper 4,Structured Query Language (https://www.notion.so/Structured-Query-Language-6a155729c27148c6983cfcb9e7870031?pvs=21),Not Confident,,"September 9, 2024 11:11 PM",
Hehe,"MDC - T5519 : Language, Culture & Communication (https://www.notion.so/MDC-T5519-Language-Culture-Communication-6b4c7f6a61c54b49b9d6c3c488595eff?pvs=21)",Not Confident,,"September 9, 2024 11:11 PM",
Pop Culture,"MDC - T5519 : Language, Culture & Communication (https://www.notion.so/MDC-T5519-Language-Culture-Communication-6b4c7f6a61c54b49b9d6c3c488595eff?pvs=21)",Not Confident,,"September 9, 2024 11:11 PM",
The Dead Poets Society,"MDC - T5519 : Language, Culture & Communication (https://www.notion.so/MDC-T5519-Language-Culture-Communication-6b4c7f6a61c54b49b9d6c3c488595eff?pvs=21)",Not Confident,,"September 9, 2024 11:11 PM",